"","iso_ref","gene_ref","isoform_id","condition_1","condition_2","dIF","pvalue","padj","IF1","IF2"
"72862","isoComp_00151968","geneComp_00035805","ENST00000622072.1","U","T",0.148,9.45102043684965e-05,0.0115103627862598,0.093,0.241
"18167","isoComp_00131679","geneComp_00032424","ENST00000169298.8","U","T",-0.147666666666667,1.13663812359411e-05,0.00206270964380628,0.688333333333333,0.540666666666667
"74933","isoComp_00054351","geneComp_00017057","ENST00000246100.3","U","T",0.147,5.12222614576086e-09,3.07363479555262e-06,0.0683333333333333,0.215333333333333
"21259","isoComp_00069144","geneComp_00019925","ENST00000412117.1","U","T",-0.146,0.000196856580606828,0.0199546063853589,0.476,0.33
"21258","isoComp_00069143","geneComp_00019925","ENST00000302327.4","U","T",0.145666666666667,7.3962777952929e-05,0.00942687139527812,0.524,0.669666666666667
"26773","isoComp_00139402","geneComp_00033666","ENST00000259746.13","U","T",0.142666666666667,2.47364728639614e-13,3.63131421642953e-10,0.0396666666666667,0.182333333333333
"36980","isoComp_00151769","geneComp_00035780","ENST00000374861.7","U","T",-0.142333333333333,1.43378638319146e-06,0.000368339721841887,0.553,0.410666666666667
"34969","isoComp_00092644","geneComp_00024884","ENST00000517331.5","U","T",0.142333333333333,1.33770474425524e-06,0.000348706711729101,0.018,0.160333333333333
"2363","isoComp_00054897","geneComp_00017152","ENST00000335282.5","U","T",0.141666666666667,0.000117419373576348,0.0136339150606842,0.0996666666666667,0.241333333333333
"347","isoComp_00059252","geneComp_00017993","ENST00000640688.1","U","T",0.141666666666667,0.000454694719744454,0.0370094490304476,0.00633333333333333,0.148
"53489","isoComp_00150160","geneComp_00035523","ENST00000555424.1","U","T",0.141,0.000405317098966693,0.0342449209371571,0.05,0.191
"62707","isoComp_00153740","geneComp_00036092","ENST00000575779.2","U","T",-0.140666666666667,1.36273808196685e-05,0.00234859480591888,0.597,0.456333333333333
"54539","isoComp_00043739","geneComp_00015442","ENST00000380228.6","U","T",-0.139666666666667,7.83313049723334e-06,0.00152233095015735,0.139666666666667,0
"52347","isoComp_00046298","geneComp_00015800","ENST00000335125.11","U","T",-0.139333333333333,7.03574024727475e-07,0.000210325139726532,0.149666666666667,0.0103333333333333
"39162","isoComp_00152397","geneComp_00035875","ENST00000374433.7","U","T",0.137666666666667,1.43864826412365e-12,1.84794369526682e-09,0.583,0.720666666666667
"66423","isoComp_00054296","geneComp_00017051","ENST00000405159.7","U","T",0.137333333333333,4.44193071112314e-07,0.000143204082132819,0.222666666666667,0.36
"4621","isoComp_00064249","geneComp_00018965","ENST00000578186.2","U","T",0.136666666666667,1.82013311324815e-12,2.2004338672633e-09,0.806333333333333,0.943
"65971","isoComp_00147194","geneComp_00034949","ENST00000587470.1","U","T",0.134333333333333,0.000276897619493759,0.0258379109005028,0.065,0.199333333333333
"73457","isoComp_00130193","geneComp_00032203","ENST00000598088.5","U","T",0.133333333333333,2.88255403490462e-07,0.0001017034343783,0.131666666666667,0.265
"40537","isoComp_00024065","geneComp_00012172","ENST00000369880.8","U","T",-0.129333333333333,9.00203674008366e-05,0.0110950440229205,0.536333333333333,0.407
"40538","isoComp_00024066","geneComp_00012172","ENST00000615257.1","U","T",0.129333333333333,6.515567503336e-05,0.00852916836487652,0.463666666666667,0.593
"51770","isoComp_00075189","geneComp_00020985","ENST00000405925.2","U","T",-0.125,1.05668231679062e-05,0.00193901205131079,0.293,0.168
"57737","isoComp_00023877","geneComp_00012140","ENST00000357484.10","U","T",-0.124666666666667,5.28172435494408e-07,0.000165095055426328,0.868333333333333,0.743666666666667
"77615","isoComp_00040050","geneComp_00014816","ENST00000651438.1","U","T",-0.122333333333333,7.80774516141132e-07,0.00022760961497493,0.938,0.815666666666667
"66632","isoComp_00090891","geneComp_00024623","ENST00000584723.5","U","T",-0.122333333333333,4.76950108728373e-06,0.00102107069110266,0.141333333333333,0.019
"59948","isoComp_00090397","geneComp_00024544","ENST00000395353.5","U","T",0.121,3.53696591530564e-06,0.000787986162507985,0,0.121
"12019","isoComp_00020281","geneComp_00011141","ENST00000477852.1","U","T",-0.119333333333333,1.29460622921199e-05,0.00226635869578223,0.127666666666667,0.00833333333333333
"68508","isoComp_00044476","geneComp_00015571","ENST00000412726.5","U","T",0.118,1.54418837528146e-08,8.35162091810123e-06,0.224,0.342
"16452","isoComp_00121862","geneComp_00030726","ENST00000451055.6","U","T",0.115333333333333,0.000170536379481806,0.0179506462028685,0.077,0.192333333333333
"33370","isoComp_00012944","geneComp_00007669","ENST00000412232.3","U","T",0.115333333333333,0.000505743602780298,0.0403834301237787,0.884666666666667,1
"5996","isoComp_00073246","geneComp_00020599","ENST00000483154.5","U","T",-0.114,0.000276380429373598,0.0258189572022099,0.207666666666667,0.0936666666666667
"59193","isoComp_00115374","geneComp_00028632","ENST00000572992.1","U","T",0.113333333333333,1.49397628870647e-49,1.75452575345688e-45,0,0.113333333333333
"24920","isoComp_00082364","geneComp_00022959","ENST00000292599.4","U","T",-0.112333333333333,0.00052861021698999,0.0419054857457214,0.974333333333333,0.862
"6496","isoComp_00053527","geneComp_00016920","ENST00000367201.7","U","T",0.109666666666667,0.000235240891911596,0.0228600798000472,0.175333333333333,0.285
"11053","isoComp_00031077","geneComp_00013425","ENST00000637309.1","U","T",-0.109666666666667,0.000420787019852834,0.0350942755504787,0.136,0.0263333333333333
"53406","isoComp_00142197","geneComp_00034145","ENST00000553903.1","U","T",0.109,0.000453142726988639,0.036919680178674,0.113666666666667,0.222666666666667
"25800","isoComp_00107121","geneComp_00027351","ENST00000484449.1","U","T",0.109,1.44815738967913e-06,0.000368576231240688,0.1,0.209
"4687","isoComp_00037981","geneComp_00014504","ENST00000290363.6","U","T",-0.108666666666667,0.000452768438011043,0.036919680178674,0.158333333333333,0.0496666666666667
"76430","isoComp_00113356","geneComp_00028305","ENST00000356208.10","U","T",0.108333333333333,6.04257842820026e-05,0.00803799817840594,0.612,0.720333333333333
"39161","isoComp_00152398","geneComp_00035875","ENST00000395797.1","U","T",-0.108,2.04245900281321e-07,7.57350074996543e-05,0.281666666666667,0.173666666666667
"70080","isoComp_00056767","geneComp_00017508","ENST00000492239.5","U","T",0.107666666666667,3.47893219009868e-06,0.000779280810582104,0.149333333333333,0.257
"41827","isoComp_00014354","geneComp_00007967","ENST00000299576.9","U","T",0.106666666666667,0.000625914992953153,0.0472934004969603,0.0263333333333333,0.133
"29480","isoComp_00065425","geneComp_00019142","ENST00000311350.8","U","T",0.103,0.000348311567503542,0.0308556005833311,0.475333333333333,0.578333333333333
"57771","isoComp_00154564","geneComp_00036237","ENST00000560038.5","U","T",-0.100333333333333,0.00042134646224604,0.0350942755504787,0.106333333333333,0.006
"52720","isoComp_00050565","geneComp_00016483","ENST00000550114.5","U","T",0.0903333333333333,1.33858542893181e-05,0.00231668275666582,0.000666666666666667,0.091
"29483","isoComp_00065427","geneComp_00019142","ENST00000413517.1","U","T",0.0223333333333333,8.17303528365226e-06,0.00156064273087134,0.00433333333333333,0.0266666666666667
