"SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"SEMA3B",-0.724709350948865,2.91722868708022,-3.27055047812967,0.00260344935009316,0.728816751179099,-1.57287001970199,-3.01105121711724
"NTNG1",-0.973321375183841,1.33639549170633,-3.26369793985294,0.0026507730173378,0.728816751179099,-1.6399893124808,-3.00557719452158
"AGA",0.582995900505973,2.88833282635135,3.25745572440268,0.00269459771642317,0.728816751179099,-1.60537311677357,3.00058699272663
"LOC100507477",-1.17436944364986,-1.65562007832367,-3.25648382490729,0.00270148322070374,0.728816751179099,-1.86828277048274,-2.99980970965519
"NYAP1",-0.697564040530625,3.38460510895896,-3.51823371715233,0.00273312022791781,0.728816751179099,-1.16237515122992,-2.99626141168215
"ABTB2",0.753024155826956,5.55533818051302,3.25120165204431,0.00273920067259483,0.728816751179099,-1.58344856701938,2.99558375208732
"NPIPA3",1.54587316692583,0.602898181637143,3.52480988953887,0.00274290148529278,0.728816751179099,-2.72934882669462,2.9951719725885
"CLCNKB",-1.01055848193603,0.181839743314779,-3.52995468231437,0.00287288198349999,0.743525374046702,-1.31383244725859,-2.98102195195581
"SAXO1",-0.728960014881733,-0.679204098100449,-3.21670951863705,0.00299816355493617,0.743525374046702,-1.8582034716317,-2.96792615005186
"LOC102724851",0.943341119970689,0.960643372249135,3.54137324218975,0.00301080980028348,0.743525374046702,-1.32409641870863,2.96663211069757
"EFEMP1",-0.959692155467991,3.59715833592303,-3.48059813297131,0.00305057665529792,0.743525374046702,-1.11415235618689,-2.9625949917129
"ANXA9",-0.546383464196437,1.44778376331247,-3.20489555815915,0.00309212263380813,0.743525374046702,-1.75384902400326,-2.95842820300346
"LOC105377989",-1.26658485363691,-1.639306623657,-3.19626660345401,0.00316252107962239,0.743525374046702,-1.97074855727488,-2.95148285001066
"LRIG1",0.827899530690835,5.24637928082964,3.19418808968839,0.00317970572852415,0.743525374046702,-1.70756588834737,2.94980886479319
"ANOS1",-0.893418806808392,5.28196470924273,-3.19254521270481,0.0031933516819675,0.743525374046702,-1.71027203165453,-2.94848545309622
"CRYZL2P-SEC16B",-1.56684257357529,-1.249969455641,-3.17691338837064,0.00332601844735033,0.743525374046702,-1.96618809102268,-2.93588104021988
"ZMYND10",-0.82947316360339,0.744196998485605,-3.17041841825092,0.00338267342445565,0.743525374046702,-1.85143809257025,-2.93063742043205
"H4C5",-0.923917065256927,-0.422550744589087,-3.15815953471221,0.00349212382262863,0.743525374046702,-1.94062179764177,-2.92072994932632
"TMEM187",-0.562431263243305,1.13687951691663,-3.15449020715243,0.00352553563168959,0.743525374046702,-1.86639543343025,-2.91776179315275
